#base_coord of PC nanocavity: Re(base_coord) vs position(50,2), base radius=89.6E-9 (unit: m)
X, Y
 -2.560000000000e-06, 0.000000000000e+00
 -2.240000000000e-06, 0.000000000000e+00
 -1.920000000000e-06, 0.000000000000e+00
 -1.600000000000e-06, 0.000000000000e+00
 -1.280000000000e-06, 0.000000000000e+00
 -9.600000000000e-07, 0.000000000000e+00
 -6.880000000000e-07, 0.000000000000e+00
 6.880000000000e-07, 0.000000000000e+00
 9.600000000000e-07, 0.000000000000e+00
 1.280000000000e-06, 0.000000000000e+00
 1.600000000000e-06, 0.000000000000e+00
 1.920000000000e-06, 0.000000000000e+00
 2.240000000000e-06, 0.000000000000e+00
 2.560000000000e-06, 0.000000000000e+00
 -2.720000000000e-06, 2.771281292110e-07
 -2.720000000000e-06, -2.771281292110e-07
 -2.400000000000e-06, 2.771281292110e-07
 -2.400000000000e-06, -2.771281292110e-07
 -2.080000000000e-06, 2.771281292110e-07
 -2.080000000000e-06, -2.771281292110e-07
 -1.760000000000e-06, 2.771281292110e-07
 -1.760000000000e-06, -2.771281292110e-07
 -1.440000000000e-06, 2.771281292110e-07
 -1.440000000000e-06, -2.771281292110e-07
 -1.120000000000e-06, 2.771281292110e-07
 -1.120000000000e-06, -2.771281292110e-07
 -8.000000000000e-07, 2.771281292110e-07
 -8.000000000000e-07, -2.771281292110e-07
 -4.800000000000e-07, 2.771281292110e-07
 -4.800000000000e-07, -2.771281292110e-07
 -1.600000000000e-07, 2.771281292110e-07
 -1.600000000000e-07, -2.771281292110e-07
 1.600000000000e-07, 2.771281292110e-07
 1.600000000000e-07, -2.771281292110e-07
 4.800000000000e-07, 2.771281292110e-07
 4.800000000000e-07, -2.771281292110e-07
 8.000000000000e-07, 2.771281292110e-07
 8.000000000000e-07, -2.771281292110e-07
 1.120000000000e-06, 2.771281292110e-07
 1.120000000000e-06, -2.771281292110e-07
 1.440000000000e-06, 2.771281292110e-07
 1.440000000000e-06, -2.771281292110e-07
 1.760000000000e-06, 2.771281292110e-07
 1.760000000000e-06, -2.771281292110e-07
 2.080000000000e-06, 2.771281292110e-07
 2.080000000000e-06, -2.771281292110e-07
 2.400000000000e-06, 2.771281292110e-07
 2.400000000000e-06, -2.771281292110e-07
 2.720000000000e-06, 2.771281292110e-07
 2.720000000000e-06 -2.771281292110e-07




