#Sample x and y displacements of the air holes in PC nanocavity. Unit: m
X disp,     Y disp
4.2586e-10,-6.0672e-10
-3.1166e-10,-2.7619e-10
7.827e-10,-1.4128e-10
6.1541e-10,-1.669e-10
-1.8473e-10,-1.7575e-10
7.3374e-11,-3.2596e-10
6.834e-10,-5.1206e-11
-8.4807e-10,2.324e-10
-2.874e-10,-7.3799e-10
4.8614e-10,-4.9527e-10
2.5241e-10,1.2438e-10
8.6239e-10,2.5665e-10
2.3874e-10,3.9775e-10
-1.0295e-10,-6.6078e-10
-3.0808e-10,-6.7595e-10
3.3195e-11,-1.4485e-10
1.9729e-10,-2.2822e-10
-2.4159e-10,1.7803e-10
-6.4112e-10,-3.5284e-10
-3.8333e-10,3.4459e-10
-1.2287e-10,-3.0125e-10
1.1807e-09,-1.8152e-11
3.3248e-10,-8.4286e-10
-1.6869e-10,4.5728e-10
2.0644e-10,3.2672e-10
1.1229e-10,-1.1334e-10
4.0755e-10,8.1465e-10
3.1743e-10,1.3585e-10
-6.0006e-10,1.3542e-11
6.0026e-10,9.4349e-11
7.3207e-11,5.6723e-10
8.7871e-10,6.4351e-10
8.8543e-10,4.6206e-10
-1.1435e-09,-3.94e-10
2.7641e-11,-5.8688e-10
-2.9253e-10,-9.9528e-10
6.9686e-10,4.7166e-11
7.6573e-11,-9.1642e-10
5.6517e-10,-1.234e-10
-1.2882e-10,6.6247e-10
5.5304e-10,-6.3272e-10
-5.5243e-10,5.3577e-10
6.6036e-10,1.1239e-10
-7.1716e-10,9.7403e-10
-2.241e-10,-5.4175e-10
2.8373e-10,8.0141e-10
5.8319e-10,-3.9786e-10
-8.3686e-11,1.228e-09
3.2711e-10,-1.4852e-10
1.9323e-10,2.7717e-10
